agent_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,departure_time,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,number_of_nodes
331,1,2,1,2,423.70,1,1,1,5.00,1,5,12,
332,1,2,1,2,423.72,1,1,1,10.00,1,5,12,
333,1,2,1,2,423.73,1,1,1,10.00,1,15,12,
334,1,2,1,2,423.74,1,1,1,10.00,1,0,12,
335,1,2,1,2,423.75,1,1,1,10.00,1,10,12,
336,1,2,1,2,423.77,1,1,1,60.00,1,5,12,
337,1,2,1,2,423.77,2,2,1,15.00,2,15,12,
338,1,2,1,2,423.77,3,3,1,20.00,3,5,12,
339,1,2,1,2,423.78,1,1,1,30.00,1,5,12,
340,1,2,1,2,423.79,1,1,1,30.00,1,15,12,
341,1,2,1,2,423.80,1,1,1,1.00,2,10,12,
342,1,2,1,2,423.81,1,1,1,20.00,1,10,12,
343,1,2,1,2,423.83,1,1,1,10.00,1,10,12,
344,1,2,1,2,423.84,1,1,1,10.00,1,10,12,
345,1,2,1,2,423.85,1,1,1,5.00,1,10,12,
346,1,2,1,2,423.86,1,1,1,10.00,1,5,12,
347,1,2,1,2,423.88,1,1,1,1.00,1,5,12,
348,1,2,1,2,423.89,1,1,1,10.00,1,5,12,
349,1,2,1,2,423.90,1,1,1,20.00,1,5,12,
350,1,2,1,2,423.91,1,1,1,30.00,1,15,12,
351,1,2,1,2,423.93,1,1,1,10.00,1,15,12,
352,1,2,1,2,423.94,1,1,1,30.00,1,5,12,
353,1,2,1,2,423.95,1,1,1,10.00,1,10,12,
354,1,2,1,2,423.96,1,1,1,10.00,2,0,12,
355,1,2,1,2,423.97,1,1,1,10.00,2,5,12,
356,1,2,1,2,423.99,1,1,1,15.00,1,5,12,
357,1,2,1,2,423.99,2,2,1,20.00,1,5,12,
358,1,2,1,2,423.99,3,3,1,20.00,3,5,12,
359,1,2,1,2,424.00,1,1,1,10.00,1,5,12,
360,1,2,1,2,424.01,1,1,1,10.00,1,5,12,
361,1,2,1,2,424.02,1,1,1,30.00,1,5,12,
362,1,2,1,2,424.04,1,1,1,10.00,1,5,12,
